""	"dataset"	"spec"	"ionization"	"formula"	"smiles"	"inchikey"	"instrument"
"56"	"yee"	"LDY-16644"	"[M]+"	"C19H38O5Si4"	"na"	"na"	"GCxGC HRToFMS"
"57"	"yee"	"LDY-16646"	"[M]+"	"C24H48O7Si4"	"na"	"na"	"GCxGC HRToFMS"
"58"	"yee"	"LDY-16648"	"[M]+"	"C14H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"59"	"yee"	"LDY-16685"	"[M]+"	"C10H12O2"	"na"	"na"	"GCxGC HRToFMS"
"60"	"yee"	"LDY-16717"	"[M]+"	"C13H20O2Si"	"na"	"na"	"GCxGC HRToFMS"
"61"	"yee"	"LDY-16805"	"[M]+"	"C16H30O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"62"	"yee"	"LDY-17525"	"[M]+"	"C26H52"	"na"	"na"	"GCxGC HRToFMS"
"63"	"yee"	"LDY-17535"	"[M]+"	"C17H34O2"	"na"	"na"	"GCxGC HRToFMS"
"64"	"yee"	"LDY-17812"	"[M]+"	"C12H28O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"65"	"yee"	"LDY-17918"	"[M]+"	"C11H16O3Si"	"na"	"na"	"GCxGC HRToFMS"
"66"	"yee"	"LDY-18239"	"[M]+"	"C15H10"	"na"	"na"	"GCxGC HRToFMS"
"67"	"yee"	"LDY-18242"	"[M]+"	"C14H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"68"	"yee"	"LDY-18271"	"[M]+"	"C15H26O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"69"	"yee"	"LDY-18275"	"[M]+"	"C15H24O4Si"	"na"	"na"	"GCxGC HRToFMS"
"70"	"yee"	"LDY-18324"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"71"	"yee"	"LDY-18390"	"[M]+"	"C10H16O2Si"	"na"	"na"	"GCxGC HRToFMS"
"72"	"yee"	"LDY-18419"	"[M]+"	"C17H14O"	"na"	"na"	"GCxGC HRToFMS"
"73"	"yee"	"LDY-18452"	"[M]+"	"C12H14O3Si"	"na"	"na"	"GCxGC HRToFMS"
"74"	"yee"	"LDY-18480"	"[M]+"	"C11H23NO3Si2"	"na"	"na"	"GCxGC HRToFMS"
"75"	"yee"	"LDY-18558"	"[M]+"	"C15H26O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"76"	"yee"	"LDY-18580"	"[M]+"	"C15H12"	"na"	"na"	"GCxGC HRToFMS"
"77"	"yee"	"LDY-18595"	"[M]+"	"C13H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"78"	"yee"	"LDY-18601"	"[M]+"	"C14H32O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"79"	"yee"	"LDY-18704"	"[M]+"	"C32H58O2Si"	"na"	"na"	"GCxGC HRToFMS"
"80"	"yee"	"LDY-18726"	"[M]+"	"C13H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"81"	"yee"	"LDY-18731"	"[M]+"	"C15H18N2OSi"	"na"	"na"	"GCxGC HRToFMS"
"82"	"yee"	"LDY-18739"	"[M]+"	"C16H28O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"83"	"yee"	"LDY-18829"	"[M]+"	"C15H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"84"	"yee"	"LDY-18855"	"[M]+"	"C19H38O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"85"	"yee"	"LDY-18860"	"[M]+"	"C16H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"86"	"yee"	"LDY-18896"	"[M]+"	"?C15H12"	"na"	"na"	"GCxGC HRToFMS"
"87"	"yee"	"LDY-18912"	"[M]+"	"C20H30O"	"na"	"na"	"GCxGC HRToFMS"
"88"	"yee"	"LDY-18928"	"[M]+"	"C20H52O5Si5"	"na"	"na"	"GCxGC HRToFMS"
"89"	"yee"	"LDY-18937"	"[M]+"	"C32H68OSi"	"na"	"na"	"GCxGC HRToFMS"
"90"	"yee"	"LDY-18938"	"[M]+"	"C14H10"	"na"	"na"	"GCxGC HRToFMS"
"91"	"yee"	"LDY-18939"	"[M]+"	"C29H48"	"na"	"na"	"GCxGC HRToFMS"
"92"	"yee"	"LDY-18940"	"[M]+"	"C12H18O4Si"	"na"	"na"	"GCxGC HRToFMS"
"93"	"yee"	"LDY-18955"	"[M]+"	"C22H54O6Si5"	"na"	"na"	"GCxGC HRToFMS"
"94"	"yee"	"LDY-18964"	"[M]+"	"C15H34O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"95"	"yee"	"LDY-18965"	"[M]+"	"C21H40O2Si"	"na"	"na"	"GCxGC HRToFMS"
"96"	"yee"	"LDY-18966"	"[M]+"	"C9H14O3Si"	"na"	"na"	"GCxGC HRToFMS"
"97"	"yee"	"LDY-18967"	"[M]+"	"C15H34O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"98"	"yee"	"LDY-18968"	"[M]+"	"C26H38O6Si2"	"na"	"na"	"GCxGC HRToFMS"
"99"	"yee"	"LDY-18969"	"[M]+"	"C12H20O3Si"	"na"	"na"	"GCxGC HRToFMS"
"100"	"yee"	"LDY-18970"	"[M]+"	"C12H6O3"	"na"	"na"	"GCxGC HRToFMS"
"101"	"yee"	"LDY-18972"	"[M]+"	"C21H42O2Si"	"na"	"na"	"GCxGC HRToFMS"
"102"	"yee"	"LDY-18973"	"[M]+"	"C19H40O2Si"	"na"	"na"	"GCxGC HRToFMS"
"103"	"yee"	"LDY-18974"	"[M]+"	"C16H14"	"na"	"na"	"GCxGC HRToFMS"
"104"	"yee"	"LDY-18975"	"[M]+"	"C23H38O2Si"	"na"	"na"	"GCxGC HRToFMS"
"105"	"yee"	"LDY-18976"	"[M]+"	"C16H10"	"na"	"na"	"GCxGC HRToFMS"
"106"	"yee"	"LDY-18977"	"[M]+"	"C15H30O3Si3"	"na"	"na"	"GCxGC HRToFMS"
"107"	"yee"	"LDY-18978"	"[M]+"	"C22H52O6Si5"	"na"	"na"	"GCxGC HRToFMS"
"108"	"yee"	"LDY-18979"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"109"	"yee"	"LDY-18980"	"[M]+"	"C18H18"	"na"	"na"	"GCxGC HRToFMS"
"110"	"yee"	"LDY-18981"	"[M]+"	"C23H38O2Si"	"na"	"na"	"GCxGC HRToFMS"
"111"	"yee"	"LDY-18982"	"[M]+"	"C19H42O5Si4"	"na"	"na"	"GCxGC HRToFMS"
"112"	"yee"	"LDY-18983"	"[M]+"	"C26H40O5Si2"	"na"	"na"	"GCxGC HRToFMS"
"113"	"yee"	"LDY-18984"	"[M]+"	"C21H44O2Si"	"na"	"na"	"GCxGC HRToFMS"
"114"	"yee"	"LDY-18985"	"[M]+"	"C15H26O5Si2"	"na"	"na"	"GCxGC HRToFMS"
"115"	"yee"	"LDY-18986"	"[M]+"	"C11H18O3Si"	"na"	"na"	"GCxGC HRToFMS"
"116"	"yee"	"LDY-18987"	"[M]+"	"C14H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"117"	"yee"	"LDY-18988"	"[M]+"	"C19H38O2Si"	"na"	"na"	"GCxGC HRToFMS"
"118"	"yee"	"LDY-18989"	"[M]+"	"C32H58OSi"	"na"	"na"	"GCxGC HRToFMS"
"119"	"yee"	"LDY-18990"	"[M]+"	"C22H34O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"120"	"yee"	"LDY-18991"	"[M]+"	"C15H34O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"121"	"yee"	"LDY-18992"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"122"	"yee"	"LDY-18993"	"[M]+"	"C19H18OSi"	"na"	"na"	"GCxGC HRToFMS"
"123"	"yee"	"LDY-18999"	"[M]+"	"C27H56"	"na"	"na"	"GCxGC HRToFMS"
"124"	"yee"	"LDY-19000"	"[M]+"	"C29H60"	"na"	"na"	"GCxGC HRToFMS"
"125"	"yee"	"LDY-19001"	"[M]+"	"C30H62"	"na"	"na"	"GCxGC HRToFMS"
"126"	"yee"	"LDY-19002"	"[M]+"	"C31H64"	"na"	"na"	"GCxGC HRToFMS"
"127"	"yee"	"LDY-19007"	"[M]+"	"C27H58OSi"	"na"	"na"	"GCxGC HRToFMS"
"128"	"yee"	"LDY-19008"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"129"	"yee"	"LDY-19009"	"[M]+"	"C18H12"	"na"	"na"	"GCxGC HRToFMS"
"130"	"yee"	"LDY-19010"	"[M]+"	"C16H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"131"	"yee"	"LDY-19011"	"[M]+"	"C13H18O3Si"	"na"	"na"	"GCxGC HRToFMS"
"132"	"yee"	"LDY-19012"	"[M]+"	"C18H10"	"na"	"na"	"GCxGC HRToFMS"
"133"	"yee"	"LDY-19014"	"[M]+"	"C20H28O"	"na"	"na"	"GCxGC HRToFMS"
"134"	"yee"	"LDY-19015"	"[M]+"	"C23H36O2Si"	"na"	"na"	"GCxGC HRToFMS"
"135"	"yee"	"LDY-19016"	"[M]+"	"C15H34O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"136"	"yee"	"LDY-19017"	"[M]+"	"C16H30O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"137"	"yee"	"LDY-19018"	"[M]+"	"C16H10"	"na"	"na"	"GCxGC HRToFMS"
"138"	"yee"	"LDY-19019"	"[M]+"	"C20H42O2Si"	"na"	"na"	"GCxGC HRToFMS"
"139"	"yee"	"LDY-19020"	"[M]+"	"C23H48O2Si"	"na"	"na"	"GCxGC HRToFMS"
"140"	"yee"	"LDY-19021"	"[M]+"	"C15H28O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"141"	"yee"	"LDY-19022"	"[M]+"	"C13H20O2Si"	"na"	"na"	"GCxGC HRToFMS"
"142"	"yee"	"LDY-19024"	"[M]+"	"C12H8O"	"na"	"na"	"GCxGC HRToFMS"
"143"	"yee"	"LDY-19025"	"[M]+"	"C15H12"	"na"	"na"	"GCxGC HRToFMS"
"144"	"yee"	"LDY-19026"	"[M]+"	"C23H50OSi"	"na"	"na"	"GCxGC HRToFMS"
"145"	"yee"	"LDY-19027"	"[M]+"	"C16H10O"	"na"	"na"	"GCxGC HRToFMS"
"146"	"yee"	"LDY-19028"	"[M]+"	"C11H16O2Si"	"na"	"na"	"GCxGC HRToFMS"
"147"	"yee"	"LDY-19029"	"[M]+"	"C13H22O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"148"	"yee"	"LDY-19030"	"[M]+"	"C13H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"149"	"yee"	"LDY-19031"	"[M]+"	"C15H24O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"150"	"yee"	"LDY-19032"	"[M]+"	"C13H22O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"151"	"yee"	"LDY-19033"	"[M]+"	"C12H21NO4Si2"	"na"	"na"	"GCxGC HRToFMS"
"152"	"yee"	"LDY-19034"	"[M]+"	"C9H14O3Si"	"na"	"na"	"GCxGC HRToFMS"
"153"	"yee"	"LDY-19035"	"[M]+"	"C23H34O3Si"	"na"	"na"	"GCxGC HRToFMS"
"154"	"yee"	"LDY-19036"	"[M]+"	"C21H28O3"	"na"	"na"	"GCxGC HRToFMS"
"155"	"yee"	"LDY-19037"	"[M]+"	"C13H8O"	"na"	"na"	"GCxGC HRToFMS"
"156"	"yee"	"LDY-19038"	"[M]+"	"C23H38O2Si"	"na"	"na"	"GCxGC HRToFMS"
"157"	"yee"	"LDY-19039"	"[M]+"	"C16H12"	"na"	"na"	"GCxGC HRToFMS"
"158"	"yee"	"LDY-19040"	"[M]+"	"C12H18O3Si"	"na"	"na"	"GCxGC HRToFMS"
"159"	"yee"	"LDY-19041"	"[M]+"	"C14H8O2"	"na"	"na"	"GCxGC HRToFMS"
"160"	"yee"	"LDY-19042"	"[M]+"	"C17H10O"	"na"	"na"	"GCxGC HRToFMS"
"161"	"yee"	"LDY-19043"	"[M]+"	"C20H12"	"na"	"na"	"GCxGC HRToFMS"
"162"	"yee"	"LDY-19044"	"[M]+"	"C16H10O"	"na"	"na"	"GCxGC HRToFMS"
"163"	"yee"	"LDY-19045"	"[M]+"	"C16H10O"	"na"	"na"	"GCxGC HRToFMS"
"164"	"yee"	"LDY-19046"	"[M]+"	"C12H8N2"	"na"	"na"	"GCxGC HRToFMS"
"165"	"yee"	"LDY-19047"	"[M]+"	"C20H12"	"na"	"na"	"GCxGC HRToFMS"
"166"	"yee"	"LDY-19048"	"[M]+"	"C20H12"	"na"	"na"	"GCxGC HRToFMS"
"167"	"yee"	"LDY-19049"	"[M]+"	"C10H16O2Si"	"na"	"na"	"GCxGC HRToFMS"
"168"	"yee"	"LDY-19050"	"[M]+"	"C10H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"169"	"yee"	"LDY-19052"	"[M]+"	"C20H42"	"na"	"na"	"GCxGC HRToFMS"
"170"	"yee"	"LDY-19054"	"[M]+"	"C9H16O4Si"	"na"	"na"	"GCxGC HRToFMS"
"171"	"yee"	"LDY-19202"	"[M]+"	"C11H24O2Si"	"na"	"na"	"GCxGC HRToFMS"
"172"	"yee"	"LDY-19219"	"[M]+"	"C17H36"	"na"	"na"	"GCxGC HRToFMS"
"173"	"yee"	"LDY-19245"	"[M]+"	"C17H12"	"na"	"na"	"GCxGC HRToFMS"
"174"	"yee"	"LDY-19325"	"[M]+"	"C15H20O3"	"na"	"na"	"GCxGC HRToFMS"
"175"	"yee"	"LDY-19326"	"[M]+"	"C15H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"176"	"yee"	"LDY-19601"	"[M]+"	"C15H22O2"	"na"	"na"	"GCxGC HRToFMS"
"177"	"yee"	"LDY-19640"	"[M]+"	"C12H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"178"	"yee"	"LDY-19646"	"[M]+"	"C9H27O4PSi3"	"na"	"na"	"GCxGC HRToFMS"
"179"	"yee"	"LDY-19655"	"[M]+"	"C12H32O3Si3"	"na"	"na"	"GCxGC HRToFMS"
"180"	"yee"	"LDY-19692"	"[M]+"	"C13H28O2Si"	"na"	"na"	"GCxGC HRToFMS"
"181"	"yee"	"LDY-19699"	"[M]+"	"C10H26O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"182"	"yee"	"LDY-19729"	"[M]+"	"C14H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"183"	"yee"	"LDY-19772"	"[M]+"	"C10H16O2"	"na"	"na"	"GCxGC HRToFMS"
"184"	"yee"	"LDY-20103"	"[M]+"	"C15H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"185"	"yee"	"LDY-20118"	"[M]+"	"C12H36O4Si5"	"na"	"na"	"GCxGC HRToFMS"
"186"	"yee"	"LDY-20120"	"[M]+"	"C8H12O2"	"na"	"na"	"GCxGC HRToFMS"
"187"	"yee"	"LDY-20131"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"188"	"yee"	"LDY-20138"	"[M]+"	"C13H30O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"189"	"yee"	"LDY-20156"	"[M]+"	"C9H20O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"190"	"yee"	"LDY-20158"	"[M]+"	"C12H26O2Si"	"na"	"na"	"GCxGC HRToFMS"
"191"	"yee"	"LDY-20204"	"[M]+"	"C12H30O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"192"	"yee"	"LDY-20232"	"[M]+"	"C11H18O3Si"	"na"	"na"	"GCxGC HRToFMS"
"193"	"yee"	"LDY-20233"	"[M]+"	"C10H14O2Si"	"na"	"na"	"GCxGC HRToFMS"
"194"	"yee"	"LDY-20247"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"195"	"yee"	"LDY-20283"	"[M]+"	"C16H48O8Si8"	"na"	"na"	"GCxGC HRToFMS"
"196"	"yee"	"LDY-20302"	"[M]+"	"C15H34O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"197"	"yee"	"LDY-20546"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"198"	"yee"	"LDY-20547"	"[M]+"	"C14H32O5Si3"	"na"	"na"	"GCxGC HRToFMS"
"199"	"yee"	"LDY-20548"	"[M]+"	"C11H18O3Si"	"na"	"na"	"GCxGC HRToFMS"
"200"	"yee"	"LDY-20550"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"201"	"yee"	"LDY-20551"	"[M]+"	"C13H32O4Si3"	"na"	"na"	"GCxGC HRToFMS"
"202"	"yee"	"LDY-20552"	"[M]+"	"C11H22O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"203"	"yee"	"LDY-20553"	"[M]+"	"C13H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"204"	"yee"	"LDY-20560"	"[M]+"	"C22H50O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"205"	"yee"	"LDY-20561"	"[M]+"	"C12H26O2Si"	"na"	"na"	"GCxGC HRToFMS"
"206"	"yee"	"LDY-20562"	"[M]+"	"C12H22O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"207"	"yee"	"LDY-20563"	"[M]+"	"C11H24O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"208"	"yee"	"LDY-20566"	"[M]+"	"C32H68OSi"	"na"	"na"	"GCxGC HRToFMS"
"209"	"yee"	"LDY-20570"	"[M]+"	"C28H60OSi"	"na"	"na"	"GCxGC HRToFMS"
"210"	"yee"	"LDY-20571"	"[M]+"	"C22H48OSi"	"na"	"na"	"GCxGC HRToFMS"
"211"	"yee"	"LDY-20574"	"[M]+"	"C24H48"	"na"	"na"	"GCxGC HRToFMS"
"212"	"yee"	"LDY-20576"	"[M]+"	"C16H38O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"213"	"yee"	"LDY-20578"	"[M]+"	"C32H66"	"na"	"na"	"GCxGC HRToFMS"
"214"	"yee"	"LDY-20585"	"[M]+"	"C18H38"	"na"	"na"	"GCxGC HRToFMS"
"215"	"yee"	"LDY-20586"	"[M]+"	"C12H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"216"	"yee"	"LDY-20587"	"[M]+"	"C17H30O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"217"	"yee"	"LDY-20588"	"[M]+"	"C15H24O4Si"	"na"	"na"	"GCxGC HRToFMS"
"218"	"yee"	"LDY-20590"	"[M]+"	"C13H28O2Si"	"na"	"na"	"GCxGC HRToFMS"
"219"	"yee"	"LDY-20591"	"[M]+"	"C8H15O3NSi"	"na"	"na"	"GCxGC HRToFMS"
"220"	"yee"	"LDY-20593"	"[M]+"	"C16H24O2Si2"	"na"	"na"	"GCxGC HRToFMS"
"221"	"yee"	"LDY-20594"	"[M]+"	"C18H44O5Si4"	"na"	"na"	"GCxGC HRToFMS"
"222"	"yee"	"LDY-20596"	"[M]+"	"C14H30O2Si"	"na"	"na"	"GCxGC HRToFMS"
"223"	"yee"	"LDY-20598"	"[M]+"	"C24H52OSi"	"na"	"na"	"GCxGC HRToFMS"
"224"	"yee"	"LDY-20601"	"[M]+"	"C26H40O5Si2"	"na"	"na"	"GCxGC HRToFMS"
"225"	"yee"	"LDY-20604"	"[M]+"	"C12H14O3Si"	"na"	"na"	"GCxGC HRToFMS"
"226"	"yee"	"LDY-20606"	"[M]+"	"C28H58"	"na"	"na"	"GCxGC HRToFMS"
"227"	"yee"	"LDY-20607"	"[M]+"	"C12H20O3Si"	"na"	"na"	"GCxGC HRToFMS"
"228"	"yee"	"LDY-20609"	"[M]+"	"C26H54OSi"	"na"	"na"	"GCxGC HRToFMS"
"229"	"yee"	"LDY-20611"	"[M]+"	"C18H42O6Si4"	"na"	"na"	"GCxGC HRToFMS"
"230"	"yee"	"LDY-20612"	"[M]+"	"C30H62"	"na"	"na"	"GCxGC HRToFMS"
"231"	"yee"	"LDY-20616"	"[M]+"	"C33H58OSi"	"na"	"na"	"GCxGC HRToFMS"
"232"	"yee"	"LDY-20617"	"[M]+"	"C21H40O2Si"	"na"	"na"	"GCxGC HRToFMS"
"233"	"yee"	"LDY-20619"	"[M]+"	"C16H26O4Si2"	"na"	"na"	"GCxGC HRToFMS"
"234"	"yee"	"LDY-20623"	"[M]+"	"C11H12O"	"na"	"na"	"GCxGC HRToFMS"
"235"	"yee"	"LDY-20624"	"[M]+"	"C12H32O3Si3"	"na"	"na"	"GCxGC HRToFMS"
"236"	"yee"	"LDY-20626"	"[M]+"	"C17H34O3Si3"	"na"	"na"	"GCxGC HRToFMS"
"237"	"yee"	"LDY-20631"	"[M]+"	"C19H42OSi"	"na"	"na"	"GCxGC HRToFMS"
"238"	"yee"	"LDY-20632"	"[M]+"	"C28H60O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"239"	"yee"	"LDY-20634"	"[M]+"	"C15H28O3Si2"	"na"	"na"	"GCxGC HRToFMS"
"240"	"yee"	"LDY-20637"	"[M]+"	"C20H42O2Si"	"na"	"na"	"GCxGC HRToFMS"
